date,open,high,low,close,volume,amount
2025-07-07,44.3,45.0,43.7,44.3,58889473.0,2606606893.0
2025-07-08,44.65,45.9,44.45,45.65,68833165.0,3113078998.0
2025-07-09,45.65,45.7,44.4,44.65,48918407.0,2196646182.0
2025-07-10,44.75,45.4,44.5,44.95,39808214.0,1792304264.0
2025-07-11,44.75,46.85,44.75,45.95,83344868.0,3852759756.0
2025-07-14,46.2,47.0,45.7,46.45,54314874.0,2528363662.0
2025-07-15,46.4,47.1,44.9,45.6,92558441.0,4218269477.0
2025-07-16,45.35,46.45,44.55,45.4,58314723.0,2664586789.0
2025-07-17,45.6,46.55,45.15,46.3,56836441.0,2623705430.0
2025-07-18,46.7,47.35,45.95,47.1,63008978.0,2951468492.0
2025-07-21,47.45,48.0,46.6,47.25,57525367.0,2723930171.0
2025-07-22,47.5,49.2,47.1,48.55,101030803.0,4899480384.0
2025-07-23,49.25,49.3,47.9,48.75,72702914.0,3538326636.0
2025-07-24,48.95,51.6,48.75,50.25,139872459.0,7048749847.0
2025-07-25,50.4,53.8,50.2,52.75,145837338.0,7590908385.0
2025-07-28,53.55,53.55,52.0,53.1,81890865.0,4324208964.0
2025-07-29,53.1,53.45,51.55,53.35,67956748.0,3570411345.0
2025-07-30,52.65,52.65,50.0,50.2,118943656.0,6064938553.0
2025-07-31,50.0,52.95,49.1,51.1,104907136.0,5389700442.0
2025-08-01,51.1,52.3,49.9,50.05,65840725.0,3339652390.0
2025-08-04,49.8,51.75,49.8,51.5,53873828.0,2762951740.0
2025-08-05,51.6,52.7,50.5,51.0,69595649.0,3598089024.0
2025-08-06,51.25,52.95,50.5,52.6,72245201.0,3752208341.0
2025-08-07,52.55,54.7,51.85,53.0,90416223.0,4817905731.0
2025-08-08,51.0,51.3,48.5,48.66,218640904.0,10862437945.0
2025-08-11,49.04,49.24,47.14,48.7,109296429.0,5252424959.0
2025-08-12,48.86,51.55,48.2,51.15,112240544.0,5643214205.0
2025-08-13,51.25,52.1,50.95,52.05,83959625.0,4338376317.0
2025-08-14,52.5,54.4,51.85,52.0,115170190.0,6115399028.0
2025-08-15,51.75,53.2,51.45,52.75,80095392.0,4198116124.0
