date,open,high,low,close,volume,amount,rsi_14,macd_dif,macd_dea,macd_hist,boll_mid,boll_upper,boll_lower,boll_width,atr_14
2025-07-07,44.3,45.0,43.7,44.3,58889473.0,2606606893.0,,0.0,0.0,0.0,,,,,1.2999999999999972
2025-07-08,44.65,45.9,44.45,45.65,68833165.0,3113078998.0,,0.10769230769230376,0.021538461538460753,0.086153846153843,,,,,1.321428571428569
2025-07-09,45.65,45.7,44.4,44.65,48918407.0,2196646182.0,94.60916442048519,0.11106728029804458,0.03944422529037752,0.07162305500766705,,,,,1.3198979591836715
2025-07-10,44.75,45.4,44.5,44.95,39808214.0,1792304264.0,94.70144691257389,0.13637738954416534,0.05883085814113509,0.07754653140303025,,,,,1.2899052478134092
2025-07-11,44.75,46.85,44.75,45.95,83344868.0,3852759756.0,95.00819660025698,0.2344251687023018,0.09394972025336844,0.14047544844893334,,,,,1.34776915868388
2025-07-14,46.2,47.0,45.7,46.45,54314874.0,2528363662.0,95.15910290266537,0.3484577572882799,0.14485132766035072,0.20360642962792916,,,,,1.3443570759207455
2025-07-15,46.4,47.1,44.9,45.6,92558441.0,4218269477.0,90.1686596213219,0.36602223259309596,0.18908550864689977,0.1769367239461962,,,,,1.4054744276406925
2025-07-16,45.35,46.45,44.55,45.4,58314723.0,2664586789.0,88.98614389341054,0.35965796415563744,0.22319999974864732,0.13645796440699012,,,,,1.4407976828092148
2025-07-17,45.6,46.55,45.15,46.3,56836441.0,2623705430.0,89.64429865275092,0.42236791949203933,0.2630335836973257,0.15933433579471362,,,,,1.4378835626085567
2025-07-18,46.7,47.35,45.95,47.1,63008978.0,2951468492.0,90.20462599066036,0.530504005074782,0.316527667972817,0.213976337101965,,,,,1.4351775938508025
2025-07-21,47.45,48.0,46.6,47.25,57525367.0,2723930171.0,90.31049041657667,0.6211461917270782,0.37745137272366924,0.24369481900340895,,,,,1.432664908575745
2025-07-22,47.5,49.2,47.1,48.55,101030803.0,4899480384.0,91.19832327445886,0.7887872645546281,0.45971855108986104,0.32906871346476707,,,,,1.4803317008203347
2025-07-23,49.25,49.3,47.9,48.75,72702914.0,3538326636.0,91.32994351222325,0.9270953727294398,0.5531939154177768,0.3739014573116629,,,,,1.4745937221903107
2025-07-24,48.95,51.6,48.75,50.25,139872459.0,7048749847.0,92.26428122236564,1.14454935636806,0.6714650036078336,0.4730843527602264,,,,,1.5728370277481458
2025-07-25,50.4,53.8,50.2,52.75,145837338.0,7590908385.0,93.51805873170191,1.501306188490986,0.8374332405844641,0.6638729479065218,,,,,1.7176343829089922
2025-07-28,53.55,53.55,52.0,53.1,81890865.0,4324208964.0,93.67267412287778,1.7916278525361236,1.0282721629747962,0.7633556895613274,,,,,1.7056604984154926
2025-07-29,53.1,53.45,51.55,53.35,67956748.0,3570411345.0,93.78668019608465,2.018613454251984,1.2263404212302338,0.79227303302175,,,,,1.719541891385815
2025-07-30,52.65,52.65,50.0,50.2,118943656.0,6064938553.0,75.36147261375727,1.922164983183194,1.3655053336208258,0.5566596495623681,,,,,1.8360031848582568
2025-07-31,50.0,52.95,49.1,51.1,104907136.0,5389700442.0,76.76594400419079,1.8964897994890322,1.4717022267944673,0.4247875726945649,,,,,1.9798601002255243
2025-08-01,51.1,52.3,49.9,50.05,65840725.0,3339652390.0,71.63546728703588,1.771000811700283,1.5315619437756305,0.2394388679246524,48.085,53.974428530940216,42.195571469059786,0.2449590737627208,2.0098700930665583
2025-08-04,49.8,51.75,49.8,51.5,53873828.0,2762951740.0,74.19980651279525,1.7681703989119484,1.578883634802894,0.18928676410905432,48.44500000000001,54.23972536927016,42.650274630729854,0.23922903784787503,2.005593657847519
2025-08-05,51.6,52.7,50.5,51.0,69595649.0,3598089024.0,71.78963325940686,1.7059167091329144,1.6042902496688982,0.10162645946401616,48.7125,54.457692498263675,42.96730750173632,0.2358816524819575,2.019479825144125
2025-08-06,51.25,52.95,50.5,52.6,72245201.0,3752208341.0,74.62956596170523,1.7653371321364304,1.6364996261624047,0.12883750597402566,49.11,54.77118827028204,43.44881172971796,0.2305513447477923,2.0502312662052593
2025-08-07,52.55,54.7,51.85,53.0,90416223.0,4817905731.0,75.29904615497081,1.8236826244367705,1.673936225817278,0.14974639861949246,49.5125,55.07211708261128,43.95288291738873,0.2245742825594052,2.107357604333455
2025-08-08,51.0,51.3,48.5,48.66,218640904.0,10862437945.0,57.55329304597481,1.502401370547446,1.6396292547633118,-0.13722788421586585,49.648,54.96901137992235,44.32698862007766,0.21434947550444514,2.278260632595351
2025-08-11,49.04,49.24,47.14,48.7,109296429.0,5252424959.0,57.652350967332914,1.2367547884911687,1.5590543615088832,-0.3222995730177145,49.76049999999999,54.888460403000074,44.63253959699991,0.20610566224214313,2.265527730267112
2025-08-12,48.86,51.55,48.2,51.15,112240544.0,5643214205.0,63.3015142606946,1.20997464826484,1.4892384188600747,-0.2792637705952348,50.038,54.80602331325984,45.26997668674015,0.19057609469842304,2.3429900352480324
